service_id,date,exception_type
B93930K1HPKM-0031,20200427,1
B93930K1HPKM-0031,20200428,1
B93930K1HPKM-0031,20200429,1
B93930K1HPKM-0031,20200430,1
B93930K1HPKM-0031,20200504,1
B93930K1HPKM-0031,20200505,1
B93930K1HPKM-0031,20200506,1
B93930K1HPKM-0031,20200507,1
B93930K1HPKM-0031,20200508,1
B93930K1HPKM-0031,20200511,1
B93930K1HPKM-0031,20200512,1
B93930K1HPKM-0031,20200513,1
B93930K1HPKM-0031,20200514,1
B93930K1HPKM-0031,20200515,1
B93930K1HPKM-0031,20200518,1
B93930K1HPKM-0031,20200519,1
B93930K1HPKM-0031,20200520,1
B93930K1HPKM-0031,20200521,1
B93930K1HPKM-0031,20200522,1
B93930K1HPKM-0031,20200525,1
B93930K1HPKM-0031,20200526,1
B93930K1HPKM-0031,20200527,1
B93930K1HPKM-0031,20200528,1
B93930K1HPKM-0031,20200529,1
B94058ASZHB-0021,20200425,1
B94058ASZHB-0021,20200502,1
B94058ASZHB-0021,20200509,1
B94058ASZHB-0021,20200516,1
B94058ASZHB-0021,20200523,1
B94058ASZHB-0021,20200530,1
B94059AVVHB-0021,20200426,1
B94059AVVHB-0021,20200503,1
B94059AVVHB-0021,20200510,1
B94059AVVHB-0021,20200517,1
B94059AVVHB-0021,20200524,1
B94060ÜNVVHB-0011,20200501,1
B94060ÜNVVHB-0011,20200531,1
B94060ÜNVVHB-0011,20200601,1
B94521AHPSzN-011,20200422,1
B94521AHPSzN-011,20200423,1
B94521AHPSzN-011,20200424,1
B94521AHPSzN-011,20200427,1
B94521AHPSzN-011,20200428,1
B94521AHPSzN-011,20200429,1
B94521AHPSzN-011,20200430,1
B94521AHPSzN-011,20200504,1
B94521AHPSzN-011,20200505,1
B94521AHPSzN-011,20200506,1
B94521AHPSzN-011,20200507,1
B94521AHPSzN-011,20200508,1
B94521AHPSzN-011,20200511,1
B94521AHPSzN-011,20200512,1
B94521AHPSzN-011,20200513,1
B94521AHPSzN-011,20200514,1
B94521AHPSzN-011,20200515,1
B94521AHPSzN-011,20200518,1
B94521AHPSzN-011,20200519,1
B94521AHPSzN-011,20200520,1
B94521AHPSzN-011,20200521,1
B94521AHPSzN-011,20200522,1
B94521AHPSzN-011,20200525,1
B94521AHPSzN-011,20200526,1
B94521AHPSzN-011,20200527,1
B94521AHPSzN-011,20200528,1
B94521AHPSzN-011,20200529,1
B94522K1HPSzN-041,20200422,1
B94522K1HPSzN-041,20200423,1
B94522K1HPSzN-041,20200424,1
B94522K1HPSzN-041,20200427,1
B94522K1HPSzN-041,20200428,1
B94522K1HPSzN-041,20200429,1
B94522K1HPSzN-041,20200430,1
B94522K1HPSzN-041,20200504,1
B94522K1HPSzN-041,20200505,1
B94522K1HPSzN-041,20200506,1
B94522K1HPSzN-041,20200507,1
B94522K1HPSzN-041,20200508,1
B94522K1HPSzN-041,20200511,1
B94522K1HPSzN-041,20200512,1
B94522K1HPSzN-041,20200513,1
B94522K1HPSzN-041,20200514,1
B94522K1HPSzN-041,20200515,1
B94522K1HPSzN-041,20200518,1
B94522K1HPSzN-041,20200519,1
B94522K1HPSzN-041,20200520,1
B94522K1HPSzN-041,20200521,1
B94522K1HPSzN-041,20200522,1
B94522K1HPSzN-041,20200525,1
B94522K1HPSzN-041,20200526,1
B94522K1HPSzN-041,20200527,1
B94522K1HPSzN-041,20200528,1
B94522K1HPSzN-041,20200529,1
B94523ASZSzN-041,20200425,1
B94523ASZSzN-041,20200502,1
B94523ASZSzN-041,20200509,1
B94523ASZSzN-041,20200516,1
B94523ASZSzN-041,20200523,1
B94523ASZSzN-041,20200530,1
B94524ASZSzN-011,20200425,1
B94524ASZSzN-011,20200502,1
B94524ASZSzN-011,20200509,1
B94524ASZSzN-011,20200516,1
B94524ASZSzN-011,20200523,1
B94524ASZSzN-011,20200530,1
B94633AVVHB-0041,20200426,1
B94633AVVHB-0041,20200501,1
B94633AVVHB-0041,20200503,1
B94633AVVHB-0041,20200510,1
B94633AVVHB-0041,20200517,1
B94633AVVHB-0041,20200524,1
