pathway_id,pathway_type,from_stop_id,to_stop_id,traversal_time,wheelchair_traversal_time
LM4MKD-LM4MK1,3,LM4MKD,LM4MK1,60,-1
LM4MKD-LM4MK2,3,LM4MKD,LM4MK2,120,-1
LMXKPL-LM4KP3,3,LMXKPL,LM4KP3,90,-1
LMXKPL-LM4KP2,3,LMXKPL,LM4KP2,90,-1
LM4KFC-LM4KF2,3,LM4KFC,LM4KF2,120,-1
LM4KFC-LM4KF1,3,LM4KFC,LM4KF1,150,-1
LM4KP3-F01335,1,LM4KP3,F01335,30,-1
LM2KP1-LMXKPN,3,LM2KP1,LMXKPN,90,-1
LM4KFC-LM4KF4,3,LM4KFC,LM4KF4,90,-1
LM2KP1-LMXKPM,3,LM2KP1,LMXKPM,90,-1
LM4KFC-LM4KF3,3,LM4KFC,LM4KF3,90,-1
LM2KP1-LMXKPL,3,LM2KP1,LMXKPL,90,-1
LM2KP1-LMXKPK,3,LM2KP1,LMXKPK,60,90
LMXKPD-LM4KP2,3,LMXKPD,LM4KP2,30,-1
LMXKPH-LM4KP3,3,LMXKPH,LM4KP3,30,-1
LMXKPH-LM4KP2,3,LMXKPH,LM4KP2,30,-1
LMXKPD-LM4KP3,3,LMXKPD,LM4KP3,30,-1
LM1KKM-F01096,1,LM1KKM,F01096,30,-1
F00959-LM2KL1,1,F00959,LM2KL1,30,-1
LM3AH1-LM3AHF,3,LM3AH1,LM3AHF,180,-1
F01233-L008084,1,F01233,L008084,60,-1
LM3AH1-LM3AHE,3,LM3AH1,LM3AHE,120,-1
LM3AH1-LM3AHG,3,LM3AH1,LM3AHG,180,-1
LMXDFE-LM2DF1,3,LMXDFE,LM2DF1,60,-1
F00955-F00963,2,F00955,F00963,120,-1
F00955-F00962,2,F00955,F00962,120,-1
LM4KF3-056216,1,LM4KF3,056216,120,120
F00955-F00961,2,F00955,F00961,90,-1
F01743-LM2PU1,1,F01743,LM2PU1,30,120
F02481-LM2SZ1,1,F02481,LM2SZ1,60,-1
F00955-F00960,2,F00955,F00960,90,-1
LM2PU1-F01743,1,LM2PU1,F01743,30,120
056231-L056214,1,056231,L056214,30,60
LM4UK1-056220,1,LM4UK1,056220,60,90
F00962-F00960,2,F00962,F00960,120,-1
F00962-F00961,2,F00962,F00961,120,-1
LM4KV1-LM4KVD,3,LM4KV1,LM4KVD,30,-1
LM4KV1-LM4KVC,3,LM4KV1,LM4KVC,60,-1
LM3CNC-LM3CN1,3,LM3CNC,LM3CN1,30,-1
LM4KV1-LM4KVB,3,LM4KV1,LM4KVB,60,-1
LM3CNG-LM3CN1,3,LM3CNG,LM3CN1,30,-1
LM4KV1-LM4KVA,3,LM4KV1,LM4KVA,90,-1
LM4KP3-056233,1,LM4KP3,056233,30,60
LMXKPM-LM2KP1,3,LMXKPM,LM2KP1,90,-1
LM4KVF-LM4KV2,3,LM4KVF,LM4KV2,90,-1
LM1MUV-F02887,1,LM1MUV,F02887,30,-1
